,No,text,username,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,emoji
0,0,A little late for that Ash. Still doesn’t negate my issue. I couldn’t fit the things I needed in carryon. This is not a one size fits all situation.,bobbibillard,1.0,,,,,,,,,1.0,,,1.0,,
1,1,"@SouthwestAir you keep saying to check the website for specific flight info, but the website doesn't appear to have any updates. Am supposed to be on a 7 am flt tmo was on Max 8. Need to know ASAP if it's changing. Help!",JFSPolicy,,1.0,,,,,,,,1.0,,,1.0,,
2,2,"@Delta just upgraded me to first class on my flight to Atlanta, any chance y’all would upgrade my connecting flight as well??",mckennaschrage,,,,,,,1.0,1.0,,,,,,1.0,
3,3,"What’s up @AmericanAir ??? Been waiting for our luggage at DFW for over an hour and no bags in sight... not just us, our entire flight!!! #unacceptable – at Dallas/Fort Worth International Airport (DFW)",sreffey,1.0,,,,,,,,,1.0,,,1.0,,
4,4,What a way to do business. We will remember this when making any future travel plans and anyone we know making travel plans.,mapetoskey,,,,,1.0,,,,,1.0,,,1.0,,🙄
5,5,Oh my god nooooooo. Sorry Fronz.. I’m expecting a flight credit to be issued.. Get it together SW..,matt_bang22,,,,,,,,,,1.0,,,1.0,,😭
6,6,"So far, @Delta gets an F for flying someone who is elderly and has a disability. My 72-year-old dad, flying for his wife’s funeral, cannot walk and they’ve put him in Row 18 on his next flight out of Detroit. Called Delta’s Complaint Resolution Department. Got no where.",tkonz,,,,,,,1.0,,,1.0,,,1.0,,😡
7,7,@AmericanAir #AATeam need assistance in your HK desk at Gate 20. Thanks.,maryermi,,,,,1.0,,,1.0,,,,,,1.0,
8,8,The other BA ...and the one that flew Chamberlain to and from Munich in 1938,Brabazon2,,,,,,,,,,,1.0,,,1.0,
9,9,My @SouthwestAir flight that took off from #PHX was delayed today because the plane was “too heavy” The only possible explanation for this can be the extra beer that all the passengers had in their bellies from the @WMPhoenixOpen #ExtraBaggageFliesFree,DEGENWLDBOY,,1.0,,,,,,,,,1.0,,,1.0,
10,10,"Using #freeWiFi & texting in flight on @AmericanAir #AAteam via #TmobileWingman. #OMSroadTrip to BatonRouge & NewOrleans to empower youth to obtain goals, click #omsRA. We SWITCHED to @JohnLegere @TMobile for Price Service More DATA Business on @netflix Oscars #cafedumondepic.twitter.com/sbr9zZYrj4",ItsOrderMySteps,,,,,,1.0,,,1.0,,,1.0,,,✈
11,11,Look at the wings flapping! I think people forget that their strength is in their flexibility,threepowells,,,,,,,,,,,,,,,
