,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,others,comments
1600,"Your like a kid in a sweet factory, loving your posts of excitement, making us all feel we are on this journey with you.",Stevemalcolm5,,,,,,,,,,,,,,,,1,
1601,I'm on the plane and dealt with most of it so I will land and not have to start figuring stuff out.,SQLHA,,,,,,,,,,,,,,,,1,
1602,@SouthwestAir Super Bowl weekend in Atlanta and you have two people working in baggage claim. What happened to the customer service you used to have. pic.twitter.com/6QbXWYV6iu,Kyle4223,,1,,,,,,,,,1,,,1,,,
1603,One of the best inflight services I’ve experienced in the US - truly genuine and hospitable crew (Angela and colleagues) - aboard @SouthwestAir 3344 from SAN-BWI. They’ve set the bar high for my future flights! Thanks for the caring!,justkidneying,,,,,,,1,,,1,,,1,,,,
1604,They were redeemed by the way. Free alcohol on the non-WiFi flights...,codymducote,,,,,,,,,,,,,,,,1,
1605,"you have one person checking IDs, Clear people cutting priority lines & employees standing around doing nothing.",HowardBealisMad,,,,,,,,,,,,,,,,1,boarding
1606,Not from LAX or BUR,bkmcgraw,,,,,,,,,,,,,,,,1,
1607,@SouthwestAir traveling to Las Vegas with outstanding flight crew! Flight 2526,Carlaroxx,❤️,,,,,,1,,,1,,,1,,,,
1608,Hello @Delta are you and @WestJet connected?,missmagen23,,,,,,,,,,,,,,,,1,
1609,"@Delta so you guys aren’t even gonna acknowledge my tweet? Fuck the customer, right? #boycottdeltaairlines",friedoatmeal,,,,,,1,,,,1,,,,1,,,
1610,Working beautifully today @AmericanAir... being charged $150 to check an additional bag when it should be free. LAX baggage attendant encouraging me to fly @united next time. Never been told to fly another airline.,shanemcinnes,,1,,,,,,,,,1,,,,1,,
1611,Still not found my bag,Jane_Dawber,,1,,,,,,,,,1,,,,1,,
1612,In fact you can just about see it says 11000m in the altitude tape on the PFD here pic.twitter.com/JcBkRilRyk,alexisk79,,,,,,,,,,,,,,,,1,
1613,"Hey @SouthwestAir my flight from Houston to Dallas (flight 20) is delayed two hours, and the next flight is cancelled. I’m going to be late to an important work meeting because of this. Anything you can do to help??",timmychui,,,1,,,,,,1,,,,,,1,,
1614,"Apparently he wanted to complain about having his seat moved, and because of that the Captain grabbed him by the throat. He thinks it may have been racially motivated, too.",Easy_To_Slip,,,,,,,,1,,,,1,,,1,,
1615,@AmericanAir your staff is less than friendly... Opened counters late... Treat people like crap... You do the stupid self check in after waiting 35 min for counters to be open and then another 20 min line to drop the bag.. This is stupid... 1hour left for the flight to depart!,dodianoa320,,,,,,1,,,,,1,,,1,,,
1616,"Hubby on Southwest flt from Orlando to Hartford, Ct... 3 aborted landings. Too windy. People puking everywhere. Screaming like something out of a movie. Safely landed in Providence. Thank God! @SouthwestAir what’s next?",PollyDaddabbo,,,,,,,,,,,,,,,,1,
1617,@United my carryon has been on over 50 flights. Today nasty Newark gate agents want to check it. Ask a simple ?: have you flown with this before? #experiencedtravellers #frequentflier #whathappenedtothefriendlyskies @SouthwestAir may be our new preferred airline,rpelatti,,1,,,,,,,,,1,,,1,,,
1618,How many more 737 MAX need to fall out of the air before @BoeingAirplanes fixes the problems? @SouthwestAir are you certain your 737 MAX to Hawaii will make the trip?,Will_C_W,,,,,,,,,,,,,,,,1,safety
1619,@Delta just received my gold Amex skymiles card with 30k bonus miles and the next day you offer 60k bonus miles. I am canceling my Amex.,cfsfm,,,,,1,,,,,,1,,,1,,,
1620,We uncover exactly what goes on at a @British_Airways assessment day. #airlines #recruitment cabincrew http:// dld.bz/gGrXC,cabincrewwings1,,,,,,,,,,,,,,,,1,
1621,Good job @Delta ! Keep Climbing! https://twitter.com/FFELouisiana/status/1096774875702853632 …,johnhattonmalta,,,,,,,,,,,,,,,,1,no context
1622,"I might try out a ""I want to speak to your manager"" voice when I call",thatswhatmosaid,🤞,,,,,,,,,,,,,,,1,no context
1623,It's a crazy Airport for sure!!,guitwar01,👍 👍 😎 🤘 🤘,,,,,,,,,,,,,,,1,
1624,"My new suitcase was delivered to my doorstep. It can be maddening having luggage damaged while traveling, but @AmericanAir handled the replacement professionally and promptly. Thank you for that! pic.twitter.com/BHHuKOd90L",DawnTongish,,1,,,,,,,,1,,,1,,,,
1625,Twice in the last three flights on @AmericanAir I've had to get off because of issues. Glad they are finding them but would be a lot better if they didn't bother to board us in first. Ugh. So tired.,ilovepeanuts,,,1,,,,,,,,1,,,1,,,
1626,Um excuse me @Delta HOW DO YOU MOVE MY FLIGHT TO THREE HOURS EARLIER??¿ pic.twitter.com/Gfz15ZAerb,chappellekendra,,,,1,,,,,,,1,,,1,,,
1627,“Immediate”,Billiame,,,,,,,,,,,,,,,,1,
1628,"Hey @AirAsiaSupport @AirAsia_indo @tonyfernandes, [DAY 229th] how about the my refund case? #EmbarrassingService #HardComplain #AirAsiaSupport",athoullah,,,,,,1,,,,,1,,,1,,,
1629,@AmericanAir Your website keeps crashing.,AWaqarK,,,,1,,,,,,,,1,,,1,,
1630,"It's a bird, it's a plane, it's a load! When ground and air cooperates to serve the people. @Delta @SouthwestAir @XXXfastkomi @Schneidepic.twitter.com/w5qtTbssbH",Komi_Dade,,,,,,,,,,,,,,,,1,
