,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,t_others,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
2001,Likeeeee I’m not even going to see what my man got me until tomorrow messing around with y’all @Delta,HeyyDaJ,,,,,,,,,1,,,1,,,1,
2002,"@SouthwestAir the ""remember me"" doesn't work on your website. i am logged out due to inactivity automatically anyway, so why hav e it?",kidbrax,,,,1,,,,,,,,1,,,1,
2003,"@SouthwestAir, thank you for making my children pay in your dispute with your mechanics. Those lost 8 hours are going to feel great in school tomorrow. #southwestheart!",brooksandy,,,1,,,,,,,,,1,,,1,
2004,@AmericanAir dinner served cold and shortly before landing tonight on 2529 from ORD > MCO. Not an enjoyable experience.,chuckyschwartz,,,,,,,1,,,,,1,,,1,
2005,"Always appreciate @FlyTPA but never more so than when I'm at a dysfunctional airport like @iflymia, dealing with poor customer service from them and @AmericanAir. Can't wait to get home to Sunny St. Pete. #MayoralRantOver",Kriseman,,,,,,1,,,,,,1,,,1,
2006,"@Delta my flight was delayed and could not get a connection, which means I cannot attend an important meeting tomorrow. Also, I have to wait at the Detroit airport for more than 20 hours :(( I wish I could use a lounge at least...",SawaxMato,,,1,,,,,,,,,1,,,1,
2007,It’s amazing! I’m blown away with every use. It’s pretty much up constantly anytime I’m flying,jkschonberg,,,,,,,,,1,,1,,,1,,
2008,@AmericanAir please ask Doug Parker to stop avoiding the reality of your disgraceful Oasis program and treatment of passengers - https://www.inc.com/chris-matyszczyk/american-airlines-ceo-was-asked-a-brutally-direct-question-about-airlines-problems-his-response-was-breathtaking.html …,ymerej,,,,,,1,,,,,,1,,,1,
2009,"Thanks for a smooth group check in at LAX American Airlines ticket counter!! So smooth, efficient & friendly. We appreciate you!! @flyLAXairport @AmericanAir",eagleviola64,,1,,,,,,,,,1,,,1,,
2010,@SouthwestAir just watched the SW flight 8725 land in Honolulu,SteveHi24745867,,,,,,,,,1,,,,1,,,1
2011,As is. In my hands.,Goldy_Mas,😊,,,,,,,,1,,,,1,,,1
2012,"@AmericanAir When a winter storm warning is in effect in COU, wouldn't you offer a waiver for flight changes for those in the eye of the storm?",seldeeb,,,,1,,,,,,1,,,,,,1
2013,Are you guys already traveling back?? Thanks Delta !,__marse,,,,,,,,,1,,,,1,,,1
2014,Good to see @British_Airways have joined the rest of the scum in charging for bags on transatlantic flights! #charming #ba #britishairways,thedevgirl,,,,1,,,,,,,,1,,,1,
2015,@British_Airways sorry I meant Heathrow flights from 8.40pm otnight are htey cancelled?,m_uddxn,,,,1,,,,,,1,,,,,,1
2016,"And to add insult to injury, @AmericanAir employees on board, who are flying for free, are getting upgraded to First class while the common folk who paid their tickets and by definition their salary, are Stuck in tiny uncomfortable seats. This airline absolutely sucks.",VanNostrand217,,,,,,,,1,,,,1,,,1,
2017,What???? You pissed off? No way lol,motornerd1,,,,,,,,,1,,,,1,,1,
