,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
2401,Apparently @AmericanAir doesn't care that my gf had to get groped by TSA twice due to their incompetence & apparently $175 voucher is enough to compensate turning a 12 hour travel day into a 26 hour travel day. Not to mention ruining our Sunday due to being exhausted. @YahooNews,guygrenfell,,,1,,,1,,,,,1,,,1,
2402,Good choice! Or maybe @SouthwestAir,eastone17,,,,1,,,,,,,,1,1,,
2403,@AmericanAir @WestForkFarm I See the maintenance crew has to open the value again while they try and start the engines on our 10 hour delay. Which was the original problem at 7 this morning. #figureitoutpic.twitter.com/EPfXljoWka,ty_oswald,,,,,,,,,1,,,,,,1
2404,"Anyone else puzzled by that surreal @British_Airways ""We love you Britain"" ad? ""With all your different views on the world… Quietly make history… Pick yourself up when the going gets tough?"" It might have passed around the 2012 Olympics, but now? Seriously?",SchulerCJ,,,,,,,1,,,,1,,,1,
2405,I have a Travel folderpic.twitter.com/vR1HzRGrwO,Mutiny32,,,,,,,,,,,,,,,
2406,... and guess what? Our bags are have been moved over to the Delta baggage office which is on the complete opposite side of the airport. Big thanks to @AmericanAir for being 100% consistent in their shity communication with their customers,MotoSquirrel,,1,,,,1,,,,,1,,,1,
2407,"That’s fine - but what happened in Ethiopia wasn’t due to the crew and pilots, it seems like a plane error. Why are you still flying the planes when people are scared?",le_takers,,,,,,,,,,,,,,,
2408,"@SouthwestAir canceling my thursday flight on a monday due to ""weather""? that's ridiculous....and of course they can't get me out same day so ruin my entire trip. But its ""weather"" (that is 3 days away and hasn't happened yet) so they can't do anything.",gmariebee,,,1,,,,,,,,1,,,1,
2409,@Delta I think the treatment we received yesterday at MSP yesterday was terrible. Half a glass of water during a 6 hour delay. Pizza being delivered on the plane while we were offered a biscuit. Staff sat down talking. Sent to hotels at midnight with no real guidance or food,Bhargava1,,,1,,,1,,,,,1,,,1,
2410,"On any other airline, to get a seat you ask for one and they assign you a letter and a number for free. At southwest, if you want a decent letter and number, you pay a fee. So it’s a fee scam just like all the airlines. Pay for your bag or pay for a seat, you choose.",JerryP_hburg,,,,,,,,1,,,1,,,1,
