No,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
2800,Are you guys paying for the LGA upgrades? Your recent prices are insane and my company is making me cheat on you!!! @Delta,becsmiles2003,,,,,,,,,,,1,,,1,
2801,@Delta why do you guys always have to give me a hard time!,glamup_gunzdown,,,,,,,,,,,1,,,1,
2802,You would think with all this trump stuff and tsa @Delta would be more understanding @AmericanAir here I come,IamWiz4Life,🤦🏽‍♂️,,,,,,,,,,1,,,1,
2803,I have to say the Comet for me...707 and the 10 is a close second,jimkane57,,,,,,,,,,,,,,,
2804,"@SouthwestAir Very frustrating .... On my way back home now finally, earlier flight from @BostonLogan cancelled, no reason provided!! ARGH! Love @SouthwestAir but really frustrating!!",tlstickland,,,1,,,,,,,,1,,,1,
2805,@delta y’all funny @Dallas/Fort Worth Intl Airport (DFW) https://www.instagram.com/p/BtUJUK6FtD4loPDoR8EyQ8OqY6xc7kmFJVKtW80/?utm_source=ig_twitter_share&igshid=mx5hgmqu7ewy …,brookewellford,,,,,,,,,,,,1,1,,
2806,That way when they lose or delay the bag you will still have those important items.,VolatileAmine,,1,,,,,,,,,,,,1,
2807,"Learning how the worlds largest airline, @AmericanAir engages their 130k team members #RaganDisney",LifeOfLorilei,,,,,,,,,,,,1,1,,
2808,"Best @SouthwestAir promo yet for a credit card. Get a Companion Pass (free flight for a friend) & 30,000 points after you spend $4,000 on purchases in the first 3 months.* USE MY REFERRAL LINK PLEASE! I NEED POINTS! https://www.referyourchasecard.com/224/H8M6EVDTQL",JustRojas,,,,,,,,,,,,1,,,1
2809,good to hear,carolduncan,,,,,,,,,,,,1,,,1
2810,"@AmericanAir I had one of the worst experiences with American in the past week. Extremely disappointed in my American Airlines. Multiple hard to experiences to come by. Catering, service, boarding.",cal_fellows,,,,,,1,,,,,1,,,1,
2811,"Oh dear, I should , but instead the search of an infinite number of discs must commence.....",PilotHusky,,,,,,,,,,,,,,,
2812,Massive campaign for @British_Airways features a host of the nation's biggest names professing their love for Britain. Created by @WPP 's #TeamHorizon (comprised of teams from @OgilvyUK and @WavemakerUK ). http:// bit.ly/2HJcjzP pic.twitter.com/0BlcR5Qfra,LBBOnline,,,,,,,,,,1,,,1,,
2813,@SouthwestAir Deshawn took great care of me tonight. I was in a pickle and she went above and beyond. She wanted a video to prove my appreciation... pic.twitter.com/GZ2AgfADIT,PayProMatt,,,,,,,,,,1,,,1,,
2814,@AirAsiaSupport Hello I was about to check in for a flight tomorrow from the Goldcoast d7 201 and I have noticed since changing the flight times that the meals have disappeared also can I cancel the luggage on flight d7 201 and AK 822 only please Thank you Paul Murphy,PaulMurf6084865,,,,1,,,,,1,,,,,,1
2815,Please pass on the good word that David helped me out last night with an avios question . I’m excited to learn that my future flights will count towards avios too . I just appreciated it,Crystalball1976,,,,,,,,,,,,1,1,,
2816,"That's what I'm trying to do actually. We're using his account, trying to book my flights, but I can't get through.",mojcamars,,,,1,,,,,,,,1,,,1
2817,missing an entire day of our already really short vacation due to engine problems and all the @delta reservations agent had to say was “well your alternative would be to have crashed and died”,ardecarteret,🙃,,,,,1,,,,,1,,,1,
2818,@AirAsiaSupport need help buying girlfriend ticket MNL to MFM want to pay PH exit tax in ticket 1620 peso but doesn't include when I check out,Ryan_PHXaz,,,,1,,,,,1,,,,,,1
2819,American Airlines bought them lmao,danmcguckin_,,,,,,,,,,,,1,,,1
2820,It’s time for afternoon tea! It’s always fun to share a table in the air. Cc @British_Airways pic.twitter.com/3DeE25H5sA,travelcodex,,,,,,,,,,,,1,1,,
2821,"Idk, I thought it was great... I had been hanging out in the lounge, but if I had not been, a sandwich before the plane would be awesome. They also had like carrot sticks",jeffbigham,,,,,,,,,,,,1,,,1
2822,"“If you’re crazy enough to do what you love for a living, then you’re bound to create a life that matters.” We join our partners @SouthwestAir in mourning the loss of a true maverick who changed aviation as we know it today - their founder, Herb Kelleher. #HonoringHerbpic.twitter.com/RL8pSdgXYg",MCO,,,,,,,,,,,,1,,,1
2823,"On @British_Airways BA1313. “Would you like some more champagne?"" This isn't a trick question, is it? Surely there is *ONLY* one correct answer to this question... Cheers, BA!",RandomStanYau,,,,,,,1,,,,,1,,,1
2824,Another reason not to fly @AmericanAir,churchofbasebal,,,,,,,,,,,1,,,1,
2825,Chileeeee. They were having technical issues 2 weeks ago or so,taqoyiaj,,,,,,,,,,,,1,,1,
2826,"@Delta help! I cannot get through to customer service, the app says we are not able to check in and we are flying back to US tomorrow. Can someone please assist me?",aming44,,,,1,,,,,1,,,,,,1
2827,Another*,justcodyhere,,,,,,,,,,,,,,,
2828,@British_Airways staff at ibis hotel stated that BA is fully aware they don’t serve food after 11 and it is your responsibility to provide something to all customers affected.,oskarpinz,,,,,,1,,,,,1,,,1,
2829,@SouthwestAir I am so disappointed that this is how my luggage came back to me. pic.twitter.com/oMmLWmAJ6P,Yadi_503,,1,,,,,,,,,1,,,1,
2830,@goibibo Would you please talk to @British_Airways at 18601803592 India Toll Free Mon-Fri 9AM to 6PM. BA has already agreed for the change and put a note in their system. You just need to call. @airvistara says they cant do anything as it is controlled by BA.,siddietwitts,,,,1,,,,,,,,1,,,1
2831,"@British_Airways When advertising Durban, dont you think you should use a picture from the area rather than a picture from Cape Town?? pic.twitter.com/505t905kbw",glenburton1,,,,,,,,,,,1,,,1,
2832,Lies. They haven't even closed the doors yet. I live here at this gate now.pic.twitter.com/UuQA1ZBuAR,ydnam,,,,,,,,,,,1,,,1,
2833,@Delta what’s the cost in miles to snag a delta one seat on my flight tomorrow? CDG -> DTW?,CouttsDotCom,,,,,,,,,1,,,,,,1
2834,"Sending condolences to our @SouthwestAir family. Herb forever changed aviation, and at GRR we are proud to carry his Southwest brand. #HonoringHerbhttps://twitter.com/SouthwestAir/status/1080960248117149698 …",FlyGRFord,,,,,,,,,,,,1,1,,
2835,My relationship ends with @Delta today. I fly with you guys twice a month and I can’t get a simple flight change even with insurance coverage. @AmericanAir and @SouthwestAir will be getting ALL my money now !!! You can blame @JustFlyGlobal for this Delta !!!,Evahassan1,,,,1,,,,,,,1,,,1,
2836,"United has them in their fleet too. (And, United sucks.)",WendellGee5,,,,,,,,,,,1,,,1,
