,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,others,comments
801,"Once again, @SouthwestAir goes above and beyond with their customer service and accommodations. I swear I don’t endorse them..but wouldn’t mind doing so! @shara_berah",rexontheradio,❤️ ❤️ ❤️,,,,,1,,,,1,,,1,,,,
802,@AmericanAir what’s wrong? I haven’t gotten a reply in a long time?,fmzh21,,,,,,,,,1,,,,,1,,1,no context
803,@Delta Ridiculous! Another day that starts with a 1215 schedule take off and home by 2020 that puts us into Boston at almost 2300 hours....another 12+ hour day at airports...not worth flying anymore!,BKNomad264,,,1,,,,,,,,1,,,1,,,
804,"Been loving that Vietnamese Broth with tofu, mushrooms, and cilantro! Always appreciate all the vegetarian options... and the local beer!",ohhleary,🍻,,,,,,,,,,,,,,,1,random
805,Every other airline has issed a travel alert for ORD at this point yet still nothing.,jimmyneutron011,,,,,,,,,,,,,,,,1,safety
806,@SouthwestAir @TSA Who are the clueless ones that write policies forbidding companions from boarding with a person with a disability? #Disabilityhttps://www.usatoday.com/story/travel/flights/2018/12/31/handicapped-man-had-pre-board-flight-alone-without-wife-sick-cancer/2452165002/ …,KayDeeNOLA,,,,,,,,,,,,,,,,1,boarding
807,"@AmericanAir @CLTAirport my flight from ATL to CLT today was 40 minutes. Once landed in CLT, sat on CLT runway for 40 minutes. Absurd. This happens more often than not. Get your $#!+ together. Wasting everyone’s money & time, including your own.",adampbickford,,,1,,,,,,,,1,,,1,,,
808,"Dont want to pay to book their seats but expect the service for nothing, typical",jackeey1,,,,,,,,,,,,,,,,1,to others
809,I did a DM first but was told they can’t view photos.,Susan_GreenBay,,,,,,,,,,,,,,,,1,random
810,"Oh well great. Here's some more then. Last two trips - no beverage service. Tonite they didn't even try to fake concern about safety as night was crystal clear. Three ""attendants"" just sat and BS'd all flight.",mskimreynolds,,,,,,,1,,,,1,,,1,,,
811,Fffffff that!,sarika_r,,,,,,,,,,,1,,,1,,1,no context
812,Deadass tho. They have the worst seats ever,BigGuyLaki,,,,,,,,1,,,1,,,1,,,
813,Customer experience at its best,MichaelGrillo,,,,,,,,,,,,,,,,1,no context
814,"@Delta this is a beautiful picture from your http://www.Delta.com website. Is this a picture of the Huangpu River and the skyline of Shanghai, China?pic.twitter.com/03r8L0oQeb",JLMcKayJr,,,,,,,,,,,,,,,,1,random
815,I know that you are doing your best but 3 calls and double checking at the airport and being assured this was the best option is frustrating when I know I could have gotten home earlier going other ways,ksafun,,,,1,,,,,,,1,,,1,,,
816,@AirAsiaSupport 08593699 reference number; you say case is closed but have not got the refund into the card that booked the ticket from. what nonsense is this?,xavierprabhu,,,,1,,,,,,,1,,,1,,,
817,@AmericanAir I would love to know what to do now that my flight is delayed by almost an hour and I'll miss my connection but there's no one at the gate. So now I gotta shame y'all on Twitter to get any help.,Lil_Spilly,🙃,,1,,,,,,,,1,,,1,,,
818,"Clearly, your baggage being where promised was not to be. You needed one more poop on this multi layer poop pie of a travel experience. Worst air experience ever, and your family have memories to last a lifetime.",JohnOnWine,,1,,,,,,,,,1,,,1,,,
819,Work work work!!! You better Belize it! Such a beautiful day in BZE. #falife #bze #swa #southwestairlines @southwestair @Philip S. W. Goldson International Airport https://www.instagram.com/p/Bt7Yv3BAEOZ/?utm_source=ig_twitter_share&igshid=ou2kb0y250ku …,knphilp,❤️ 💙 💛,,,,,,,,,,,,,,,1,random
820,They finally got us up but yeah same problem. I hope you get home soon brother,Curatedmusic,💛,,,,,,,,,,,,,,,1,no context
821,"@AmericanAir will you be issuing a travel alert for DCA soon for Wednesday to allow for changes/cancellations due winter weather? Based on the forecast, there is no way DCA can handle de icing & the weather.",jodikane,,,,,,,,,,,,,,,,1,safety
822,@SouthwestAir why are there so many delays @flyLAXairport?,wamp2214,,,1,,,,,,1,,,,,,1,,
823,@BarstoolBigCat help?,lfalgo67,,,,,,,,,,,,,,,,1,random
824,How long did takeoff get delayed?,unclechuckTN,,,,,,,,,,,,,,,,1,no context
825,Left at least 15 people. Been at misconnect desk for 45 mins. Could have held flight for 10-15 mins and we would have all gotten on. Very poor service.,MomInStL,,,,,,1,,,,,1,,,1,,,
826,We landed at around 5am,DaveWallsworth,,,,,,,,,,,,,,,1,,random
827,But Taylor.......I’m sweating!,H2PKSK,🥵 🥵 🥵,,,,,,,,,,,,,,,1,random
828,@AirAsiaSupport hello I am trying to add on checked baggage for a flight I have tomorrow but I am unable to do so online and the call centre is closed. Can you help me with this please?,hyte234,,1,,,,,,,1,,,,,,1,,
829,PLEASE tell me why @SouthwestAir forgot to put my bag on the airplane and it’s been 10+ hours to return it to me. If I’m late to work tomorrow because I don’t have my luggage I’m going to explode.,atbassoon5,🤯 😡,1,,,,,,,,,1,,,1,,,
830,@AmericanAir how about an upgrade for our delayed seniors,MariaVorkas,,,,,,,,1,1,,,,,,1,,
831,@Delta Hi! My ticket number: 0062359721970. I was looking online to see the options for changing the ticket and my SJC - DCA ticket got cancelled. What happened? I just have me DCA - SJC leg left.,TrishGriffin9,,,,1,,,,,1,,,,,,1,,
832,"@Delta 4 different agents, 4 different stories and still no love for your platinum members.",Kerstin42478177,,,,,,1,,,,,1,,,1,,,
833,Yes. Would have been in 2C.,GoldboxATL,,,,,,,,,,,,,,,,1,no context
834,"@Delta I literally only created a Twitter account so I could say how unhelpful your staff has been. I've exclusively flown Delta for a number of years now, and after Delta/Air France ""conveniently"" lost my bag in Paris during a layover, the best your staff could do was nothing.",notthatprinces1,,1,,,,1,,,,,1,,,1,,,
835,@AmericanAir gave up 1st class seat to get home earlier. Boarded when they “said” they were ready. Now going to leave after my later flight. Good job American!,wkalmans,,,1,,,,,,,,1,,,1,,,
836,"2 cancellations and an incorrectly booked flight? Congratulations, you have just earned yourself 3 extra bags of mini pretzels (mustard packets extra). Thank you for flying @SouthwestAir ! Sorry you’re going through this. Safe travels, friend.",KeithM_Photos,,,,1,,,,,,,1,,,1,,,
837,"@British_Airways I booked a trip last night through your website & while my credit card was charged, my flights aren't showing up in my account and I haven't received a confirmation email. My booking number isn't helping either. Kind of nervous I just paid $1,000 for nothing.",tucker_ficklin,,,,1,,,,,1,,,,,,1,,
838,I think these usually.... just let it slide,spencepress,🥴,,,,,,,,,,,,,,,1,no context
839,Because you were forced to. Shame on you.,travelinm,,,,,,,,,,,,,,,,1,no context
840,Another wifi-less flight on @SouthwestAir (feb 4 1890 rdu stl) making it hard to keep my loyalty. Any airlines with wifi want my business?,neil_anderson,,,,,,,1,,,,1,,,1,,,
841,Is a 1000 #SkyMile offer from @delta even worth $5? That doesn't not seem much like #goodwill It makes it hard to be a loyal customer,ZachBarton14,,,,,1,,,,,,1,,,1,,,
842,"Ok @SouthwestAir, I take back all those negative comments about WiFi not working last week. Way to show the LUV.",DullhooksScott,,,,,,,1,,,1,,,1,,,,
843,"If we assume that a plane travels 500 miles per hour, you were in the air for 300 hours. That is 12.5 days. Half of a month. Wow ! – at New York Hilton Midtown",msoyer,,,,,,,,,,,,,,,,1,random
844,@AmericanAir any promo codes for college students??? Flying from DCA to BOG in March.,Jereznel,,,,1,,,,,1,,,,,,1,,
845,@AmericanAir. Just DM'ed you with travel delay info. Pls. respond. Thx.,rchaiss,,,1,,,,,,1,,,,,,1,,
846,Proxy Error The proxy server could not handle the request GET /spafax-responsive/. Reason: Error during SSL Handshake with remote server,MyNextAction,,,,,,,,,,,,,,,,1,random
